"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","8",140000000,"","２ＬＤＫ","80",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成29年第４四半期","未改装",""
2,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","4",280000000,"","３ＬＤＫ","150",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成29年第３四半期","未改装",""
3,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","5",86000000,"","２ＬＤＫ","80",,"","","","昭和53年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成29年第２四半期","改装済",""
4,"宅地(土地と建物)","住宅地","13103","東京都","港区","赤坂","青山一丁目","7",270000000,"","","105",,"ほぼ台形","10.2","195","平成11年","ＲＣ","住宅、駐車場","住宅","東","区道",4.7,"第２種中高層住居専用地域",60,300,"平成29年第１四半期","",""
5,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",15000000,"","１Ｒ","15",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"平成28年第４四半期","未改装",""
6,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","5",65000000,"","２ＬＤＫ","70",,"","","","昭和53年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成28年第４四半期","未改装",""
7,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",13000000,"","１Ｋ","20",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"平成28年第１四半期","未改装",""
8,"宅地(土地と建物)","住宅地","13103","東京都","港区","赤坂","青山一丁目","7",630000000,"","","400",,"ほぼ台形","18.0","640","昭和57年","ＲＣ","共同住宅","住宅","東","区道",4.0,"第２種住居地域",60,400,"平成27年第３四半期","",""
9,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","5",62000000,"","１ＬＤＫ","80",,"","","","昭和53年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成27年第３四半期","未改装",""
10,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",17000000,"","１Ｋ","20",,"","","","昭和58年","ＳＲＣ","住宅","その他","","",,"第２種中高層住居専用地域",60,300,"平成27年第３四半期","未改装",""
11,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",15000000,"","１Ｋ","20",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"平成27年第３四半期","改装済",""
12,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",15000000,"","１Ｋ","20",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"平成27年第３四半期","改装済",""
13,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",14000000,"","１Ｋ","20",,"","","","昭和58年","ＳＲＣ","住宅","その他","","",,"第２種中高層住居専用地域",60,300,"平成27年第２四半期","未改装",""
14,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",16000000,"","１ＤＫ","20",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"平成27年第２四半期","改装済",""
15,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","5",120000000,"","２ＬＤＫ","80",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成27年第２四半期","未改装",""
16,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",16000000,"","","25",,"","","","昭和58年","ＳＲＣ","住宅","","","",,"第２種中高層住居専用地域",60,300,"平成27年第１四半期","",""
17,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","3",130000000,"","２ＬＤＫ","85",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"平成26年第４四半期","未改装",""
18,"宅地(土地と建物)","住宅地","13103","東京都","港区","赤坂","青山一丁目","4",1400000000,"","","520",,"ほぼ正方形","22.5","780","昭和63年","ＲＣ","住宅、事務所、駐車場","事務所","北西","区道",4.5,"第２種住居地域",60,400,"平成26年第３四半期","",""
19,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","8",42000000,"","２ＬＤＫ","75",,"","","","昭和52年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"平成26年第３四半期","",""
20,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","5",63000000,"","２ＬＤＫ","70",,"","","","昭和53年","ＲＣ","住宅","事務所","","",,"第１種中高層住居専用地域",60,300,"平成26年第３四半期","改装済",""
21,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",13000000,"","１Ｒ","20",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,300,"平成26年第２四半期","改装済",""
22,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",31000000,"","オープンフロア","65",,"","","","昭和58年","ＳＲＣ","店舗","事務所","","",,"第２種中高層住居専用地域",60,300,"平成26年第２四半期","改装済",""
23,"宅地(土地)","住宅地","13103","東京都","港区","赤坂","青山一丁目","8",310000000,"3200000","","320",960000,"ほぼ長方形","20.0","","","","","","南東","区道",5.5,"第１種中高層住居専用地域",60,300,"平成26年第１四半期","",""
24,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","3",130000000,"","２ＬＤＫ","100",,"","","","平成19年","ＲＣ","住宅","","","",,"第１種中高層住居専用地域",60,300,"平成26年第１四半期","未改装",""
25,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","3",80000000,"","２ＬＤＫ","100",,"","","","平成14年","ＲＣ","住宅","","","",,"商業地域",80,500,"平成25年第４四半期","未改装",""
26,"宅地(土地)","住宅地","13103","東京都","港区","赤坂","青山一丁目","8",390000000,"4000000","","320",1200000,"ほぼ長方形","20.0","","","","","","北東","区道",5.5,"第１種中高層住居専用地域",60,300,"平成25年第３四半期","",""
27,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","6",170000000,"","","140",,"","","","平成2年","ＲＣ","住宅","","","",,"第１種中高層住居専用地域",60,300,"平成25年第３四半期","",""
28,"宅地(土地と建物)","商業地","13103","東京都","港区","赤坂","青山一丁目","6",1300000000,"","","240",,"ほぼ長方形","13.0","1800","昭和63年","ＳＲＣ","事務所","","北","国道",40.0,"商業地域",80,700,"平成25年第２四半期","",""
29,"宅地(土地と建物)","住宅地","13103","東京都","港区","赤坂","青山一丁目","8",180000000,"","","140",,"長方形","9.0","90","昭和41年","木造","住宅","","北西","区道",3.3,"第２種中高層住居専用地域",60,300,"平成25年第２四半期","",""
30,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",50000000,"","２ＬＤＫ","80",,"","","","昭和58年","ＳＲＣ","住宅","","","",,"第２種中高層住居専用地域",60,300,"平成25年第２四半期","未改装",""
31,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",12000000,"","１Ｒ","20",,"","","","昭和58年","ＳＲＣ","住宅","","","",,"第２種中高層住居専用地域",60,300,"平成25年第２四半期","未改装",""
32,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","3",250000000,"","オープンフロア","390",,"","","","平成14年","ＲＣ","事務所","","","",,"商業地域",80,500,"平成25年第２四半期","未改装","調停・競売等"
33,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",15000000,"","１Ｋ","20",,"","","","昭和58年","ＳＲＣ","住宅","","","",,"第２種中高層住居専用地域",60,300,"平成25年第２四半期","未改装",""
34,"中古マンション等","","13103","東京都","港区","赤坂","青山一丁目","9",10000000,"","１Ｒ","20",,"","","","昭和58年","ＳＲＣ","住宅","","","",,"第２種中高層住居専用地域",60,300,"平成25年第１四半期","未改装","調停・競売等"
35,"宅地(土地と建物)","商業地","13103","東京都","港区","赤坂","赤坂(東京)","3",1600000000,"","","340",,"不整形","","990","平成20年","ＲＣ","事務所","事務所","西","区道",5.0,"商業地域",80,400,"平成29年第４四半期","",""
36,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","7",14000000,"","１Ｋ","15",,"","","","昭和46年","ＲＣ","住宅","","","",,"近隣商業地域",80,300,"平成29年第４四半期","改装済",""
37,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",100000000,"","１ＤＫ","50",,"","","","平成20年","ＲＣ","","住宅","","",,"商業地域",80,400,"平成29年第４四半期","未改装",""
38,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",130000000,"","２ＬＤＫ","80",,"","","","平成20年","ＲＣ","","住宅","","",,"商業地域",80,400,"平成29年第４四半期","改装済",""
39,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","3",25000000,"","１ＤＫ","25",,"","","","昭和54年","ＳＲＣ","","事務所","","",,"第２種住居地域",60,400,"平成29年第４四半期","改装済",""
40,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",340000000,"","２ＬＤＫ","130",,"","","","平成20年","ＲＣ","","住宅","","",,"商業地域",80,400,"平成29年第４四半期","未改装",""
41,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","8",160000000,"","１ＬＤＫ","85",,"","","","平成21年","ＲＣ","","住宅","","",,"第２種住居地域",60,400,"平成29年第４四半期","未改装",""
42,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",230000000,"","２ＤＫ","125",,"","","","平成21年","ＲＣ","","住宅","","",,"第２種住居地域",60,400,"平成29年第４四半期","未改装",""
43,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","8",210000000,"","２ＬＤＫ","105",,"","","","平成21年","ＲＣ","","住宅","","",,"第２種住居地域",60,400,"平成29年第４四半期","未改装",""
44,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",14000000,"","１Ｋ","20",,"","","","昭和52年","ＳＲＣ","","住宅","","",,"商業地域",80,600,"平成29年第４四半期","未改装",""
45,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","6",13000000,"","１Ｋ","15",,"","","","昭和46年","ＲＣ","住宅","事務所","","",,"近隣商業地域",80,300,"平成29年第４四半期","改装済",""
46,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","1",32000000,"","","25",,"","","","平成12年","ＲＣ","","住宅","","",,"第２種住居地域",60,400,"平成29年第４四半期","未改装",""
47,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","2",44000000,"","１ＤＫ","30",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"平成29年第４四半期","未改装",""
48,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",240000000,"","３ＬＤＫ","100",,"","","","平成20年","ＲＣ","","住宅","","",,"商業地域",80,400,"平成29年第４四半期","未改装",""
49,"宅地(土地と建物)","商業地","13103","東京都","港区","赤坂","赤坂(東京)","2",780000000,"","","120",,"ほぼ整形","11.2","520","昭和44年","","事務所、店舗","店舗","南西","区道",10.4,"商業地域",80,500,"平成29年第３四半期","",""
50,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",13000000,"","１Ｋ","20",,"","","","昭和53年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成29年第３四半期","未改装",""
51,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","8",60000000,"","１Ｋ","35",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成29年第３四半期","未改装",""
52,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","7",12000000,"","１Ｒ","15",,"","","","昭和46年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"平成29年第３四半期","未改装",""
53,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",98000000,"","１ＬＤＫ","50",,"","","","平成20年","ＲＣ","","住宅","","",,"商業地域",80,400,"平成29年第３四半期","未改装",""
54,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",26000000,"","１Ｋ","30",,"","","","平成9年","ＲＣ","","住宅","","",,"第２種住居地域",60,400,"平成29年第３四半期","未改装",""
55,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","3",16000000,"","１Ｋ","20",,"","","","昭和54年","ＳＲＣ","","住宅","","",,"第２種住居地域",60,400,"平成29年第３四半期","未改装",""
56,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","7",14000000,"","１Ｋ","25",,"","","","昭和46年","ＳＲＣ","住宅","事務所","","",,"近隣商業地域",80,300,"平成29年第３四半期","未改装",""
57,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",150000000,"","２ＬＤＫ","75",,"","","","平成20年","ＲＣ","","住宅","","",,"商業地域",80,400,"平成29年第３四半期","未改装",""
58,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","8",78000000,"","１ＬＤＫ","55",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成29年第２四半期","未改装",""
59,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",28000000,"","１ＤＫ","20",,"","","","平成15年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成29年第２四半期","未改装",""
60,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","5",85000000,"","２ＬＤＫ","75",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成29年第２四半期","未改装",""
61,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","8",38000000,"","１ＤＫ","35",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成29年第２四半期","未改装",""
62,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","5",130000000,"","３ＬＤＫ","85",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成29年第２四半期","改装済",""
63,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","5",180000000,"","２ＬＤＫ","95",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成29年第２四半期","未改装",""
64,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","3",29000000,"","１Ｋ","20",,"","","","平成14年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成29年第２四半期","未改装",""
65,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","2",26000000,"","１Ｋ","20",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成29年第２四半期","改装済",""
66,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","8",110000000,"","２ＤＫ","65",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成29年第２四半期","未改装",""
67,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","3",74000000,"","３ＬＤＫ","75",,"","","","昭和53年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成29年第２四半期","未改装",""
68,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","8",140000000,"","２ＬＤＫ","80",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成29年第２四半期","未改装",""
69,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",92000000,"","１ＬＤＫ","50",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成29年第１四半期","改装済",""
70,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",87000000,"","１ＬＤＫ","50",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成29年第１四半期","",""
71,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",12000000,"","１Ｋ","20",,"","","","昭和52年","ＳＲＣ","住宅","","","",,"商業地域",80,600,"平成29年第１四半期","未改装",""
72,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","5",38000000,"","１Ｋ","25",,"","","","平成25年","ＲＣ","住宅","その他","","",,"",,,"平成29年第１四半期","",""
73,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","8",110000000,"","２ＬＤＫ","70",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成29年第１四半期","未改装",""
74,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","2",37000000,"","１Ｋ","30",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成29年第１四半期","未改装",""
75,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","5",180000000,"","２ＬＤＫ","130",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成29年第１四半期","改装済",""
76,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",140000000,"","２ＬＤＫ","80",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成29年第１四半期","未改装",""
77,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",290000000,"","３ＬＤＫ","115",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成29年第１四半期","未改装",""
78,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","11",62000000,"","３ＬＤＫ","70",,"","","","昭和45年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成29年第１四半期","改装済",""
79,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","1",33000000,"","１Ｋ","25",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成29年第１四半期","未改装",""
80,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","8",55000000,"","１Ｋ","35",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成29年第１四半期","未改装",""
81,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","2",34000000,"","１ＬＤＫ","40",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"平成29年第１四半期","未改装",""
82,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",52000000,"","１ＬＤＫ","50",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成28年第４四半期","未改装",""
83,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","3",64000000,"","１ＬＤＫ","35",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成28年第４四半期","",""
84,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","5",67000000,"","２ＬＤＫ","85",,"","","","平成20年","ＲＣ","住宅","その他","","",,"第２種住居地域",60,400,"平成28年第４四半期","",""
85,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",15000000,"","","20",,"","","","昭和54年","ＳＲＣ","住宅","事務所","","",,"第２種住居地域",60,400,"平成28年第４四半期","改装済",""
86,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","6",9700000,"","１Ｒ","15",,"","","","昭和46年","ＲＣ","住宅","","","",,"近隣商業地域",80,300,"平成28年第４四半期","未改装",""
87,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","8",190000000,"","２ＤＫ","105",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成28年第４四半期","改装済",""
88,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","8",130000000,"","２ＬＤＫ","80",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成28年第４四半期","未改装",""
89,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","6",5500000,"","","15",,"","","","昭和46年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"平成28年第４四半期","未改装",""
90,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",34000000,"","１ＤＫ","30",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成28年第４四半期","未改装",""
91,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","7",23000000,"","１ＤＫ","20",,"","","","昭和55年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成28年第４四半期","未改装",""
92,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","8",70000000,"","１ＬＤＫ","50",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成28年第４四半期","未改装",""
93,"宅地(土地と建物)","住宅地","13103","東京都","港区","赤坂","赤坂(東京)","5",68000000,"","","40",,"ほぼ長方形","5.5","50","平成14年","木造","住宅","住宅","北東","私道",3.0,"第２種住居地域",60,300,"平成28年第３四半期","",""
94,"宅地(土地)","住宅地","13103","東京都","港区","赤坂","赤坂(東京)","6",200000000,"3400000","","195",1000000,"不整形","8.0","","","","","事務所","南西","区道",4.2,"第１種中高層住居専用地域",60,300,"平成28年第３四半期","",""
95,"宅地(土地)","住宅地","13103","東京都","港区","赤坂","赤坂(東京)","9",330000000,"3200000","","340",970000,"不整形","","","","","","住宅","西","私道",3.0,"第１種中高層住居専用地域",60,300,"平成28年第３四半期","","私道を含む取引"
96,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",13000000,"","１Ｒ","20",,"","","","昭和53年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成28年第３四半期","未改装",""
97,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",18000000,"","１Ｋ","20",,"","","","昭和54年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成28年第３四半期","改装済",""
98,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",9300000,"","１Ｋ","20",,"","","","昭和53年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成28年第３四半期","改装済",""
99,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",78000000,"","１ＬＤＫ","50",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成28年第３四半期","未改装",""
100,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","3",14000000,"","１Ｋ","25",,"","","","昭和54年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成28年第３四半期","未改装",""
101,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","7",17000000,"","１ＬＤＫ","25",,"","","","昭和55年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成28年第３四半期","未改装",""
102,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",87000000,"","１ＬＤＫ","55",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成28年第３四半期","未改装",""
103,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","7",60000000,"","１ＬＤＫ","50",,"","","","平成25年","ＲＣ","住宅","","","",,"近隣商業地域",80,300,"平成28年第３四半期","未改装",""
104,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",23000000,"","１Ｋ","20",,"","","","平成15年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成28年第３四半期","未改装",""
105,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",87000000,"","１ＬＤＫ","50",,"","","","平成20年","ＲＣ","住宅","","","",,"商業地域",80,400,"平成28年第３四半期","",""
106,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",29000000,"","１ＤＫ","25",,"","","","平成11年","ＲＣ","住宅","その他","","",,"第２種住居地域",60,400,"平成28年第３四半期","未改装",""
107,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",110000000,"","１ＬＤＫ","65",,"","","","平成20年","ＲＣ","住宅","その他","","",,"商業地域",80,400,"平成28年第３四半期","未改装",""
108,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",15000000,"","１Ｒ","20",,"","","","昭和53年","ＲＣ","住宅","その他","","",,"第１種中高層住居専用地域",60,300,"平成28年第３四半期","未改装",""
109,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","7",9500000,"","１Ｋ","15",,"","","","昭和55年","ＲＣ","住宅","事務所","","",,"第１種中高層住居専用地域",60,300,"平成28年第３四半期","未改装",""
110,"宅地(土地と建物)","商業地","13103","東京都","港区","赤坂","赤坂(東京)","2",1000000000,"","","360",,"長方形","9.5","1800","昭和47年","ＲＣ","住宅、事務所、店舗","その他","北東","区道",8.0,"商業地域",80,500,"平成28年第２四半期","",""
111,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","3",38000000,"","１ＬＤＫ","30",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"平成28年第２四半期","",""
112,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","8",190000000,"","２ＤＫ","100",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成28年第２四半期","未改装",""
113,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","8",200000000,"","２ＬＤＫ","105",,"","","","平成21年","ＲＣ","住宅","","","",,"第２種住居地域",60,400,"平成28年第２四半期","",""
114,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",36000000,"","１Ｋ","35",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成28年第２四半期","未改装",""
115,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","7",76000000,"","２ＬＤＫ","55",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成28年第２四半期","未改装",""
116,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","2",28000000,"","１Ｋ","20",,"","","","平成14年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成28年第２四半期","未改装",""
117,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",12000000,"","","20",,"","","","昭和54年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成28年第２四半期","",""
118,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",24000000,"","","30",,"","","","昭和52年","ＳＲＣ","住宅","","","",,"商業地域",80,600,"平成28年第２四半期","未改装",""
119,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","2",34000000,"","１Ｋ","30",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成28年第２四半期","改装済",""
120,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","5",62000000,"","１ＤＫ","50",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"平成28年第２四半期","未改装",""
121,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","3",35000000,"","１ＬＤＫ","55",,"","","","昭和53年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"平成28年第２四半期","",""
122,"中古マンション等","","13103","東京都","港区","赤坂","赤坂(東京)","4",130000000,"","１ＬＤＫ","65",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"平成28年第２四半期","",""
